pet_id,birth_day,age,gender,country,registration_date,housing_type,outdoor_space,family_type,hours_available,weekend_time,experience_level,training_ability,activity_level,noise_tolerance,budget_level,maintenance_tolerance,size_preference,grooming_tolerance,energy_preference,affection_preference,animal_type,breed
PET_031891,2021-05-17,5,Female,Saudi Arabia,2022-03-26,house,balcony,family_with_children,high,high,intermediate,high,high,low,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031310,2019-03-30,7,Male,Germany,2020-03-27,apartment,balcony,alone,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032187,2013-09-12,13,Female,Japan,2013-10-19,apartment,balcony,family_with_children,high,low,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032374,2025-09-26,1,Female,United Arab Emirates,2026-02-15,apartment,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031592,2013-03-05,13,Female,Japan,2014-02-23,house,garden,alone,high,high,intermediate,high,high,medium,medium,medium,large,low,high,balanced,cat,Abyssinian
PET_031659,2016-08-30,10,Female,Canada,2017-01-23,house,none,couple,high,high,intermediate,high,low,medium,medium,low,medium,low,high,balanced,cat,Abyssinian
PET_031745,2021-11-03,5,Female,Germany,2022-11-01,house,none,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032325,2024-12-18,2,Female,United States,2025-01-17,apartment,balcony,family_with_children,high,high,intermediate,high,high,medium,low,medium,medium,low,high,balanced,cat,Abyssinian
PET_031356,2014-09-17,12,Female,United States,2014-12-17,apartment,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031633,2017-10-26,9,Male,United Arab Emirates,2018-08-29,apartment,none,family_with_children,high,medium,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031454,2025-04-30,1,Male,United Kingdom,2025-11-13,apartment,balcony,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031506,2021-03-05,5,Female,Japan,2021-06-17,house,balcony,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032363,2025-10-08,1,Male,United Kingdom,2026-03-12,house,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031315,2013-03-28,13,Female,Canada,2013-11-12,farm,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031568,2021-07-15,5,Female,United States,2022-07-11,apartment,balcony,alone,high,medium,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032063,2012-02-13,14,Male,Saudi Arabia,2012-06-16,apartment,none,family_with_children,high,high,expert,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031805,2021-12-29,5,Female,Germany,2022-02-28,apartment,none,alone,high,high,intermediate,high,high,medium,medium,medium,medium,medium,low,balanced,cat,Abyssinian
PET_031835,2023-12-18,3,Male,Saudi Arabia,2024-02-29,apartment,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032332,2025-11-02,1,Female,United Arab Emirates,2026-05-08,apartment,garden,family_with_children,high,high,intermediate,high,low,medium,low,medium,medium,low,high,balanced,cat,Abyssinian
PET_031872,2019-05-26,7,Female,United Arab Emirates,2019-08-09,apartment,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032347,2024-09-08,2,Female,United Kingdom,2024-12-30,apartment,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032355,2018-05-07,8,Female,United Kingdom,2018-09-20,apartment,balcony,family_with_children,high,high,intermediate,low,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031508,2017-12-08,9,Female,Germany,2018-08-22,apartment,none,family_with_children,high,medium,intermediate,high,high,medium,medium,medium,small,low,high,balanced,cat,Abyssinian
PET_031221,2022-03-11,4,Male,Australia,2022-09-28,apartment,none,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031207,2015-09-02,11,Male,Japan,2016-01-14,house,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031660,2013-04-15,13,Female,Saudi Arabia,2013-09-14,apartment,garden,alone,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031904,2020-04-28,6,Female,Australia,2020-07-22,apartment,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032028,2013-09-15,13,Male,Saudi Arabia,2014-06-01,apartment,none,couple,high,high,intermediate,high,high,low,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031892,2022-07-18,4,Male,Japan,2023-05-27,apartment,none,family_with_children,high,high,intermediate,medium,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031548,2022-05-01,4,Female,Australia,2022-10-12,apartment,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032396,2024-08-31,2,Male,Japan,2024-10-27,apartment,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032040,2013-02-26,13,Male,United States,2013-07-14,apartment,none,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031973,2015-06-08,11,Female,Canada,2016-01-21,house,none,alone,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,independent,cat,Abyssinian
PET_032294,2020-04-09,6,Female,United Arab Emirates,2020-11-17,apartment,none,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032041,2014-01-12,12,Female,Germany,2014-12-22,apartment,none,couple,high,high,beginner,high,high,medium,medium,medium,medium,low,high,independent,cat,Abyssinian
PET_031220,2020-04-27,6,Female,Canada,2021-01-07,house,none,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031606,2023-11-30,3,Female,United Arab Emirates,2024-01-25,apartment,balcony,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031764,2014-08-05,12,Male,Canada,2014-10-09,apartment,balcony,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031896,2021-08-18,5,Male,United Arab Emirates,2022-01-10,apartment,balcony,family_with_children,high,medium,intermediate,high,medium,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032267,2015-11-21,11,Male,Japan,2016-03-15,apartment,none,family_with_children,low,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031816,2020-04-11,6,Male,United Arab Emirates,2020-12-17,apartment,balcony,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031342,2019-05-10,7,Male,Japan,2019-11-03,apartment,none,family_with_children,high,high,intermediate,high,high,medium,low,medium,medium,low,high,balanced,cat,Abyssinian
PET_031407,2023-12-17,3,Male,United Arab Emirates,2024-04-15,house,large_yard,couple,high,high,intermediate,high,medium,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031582,2017-06-21,9,Male,Germany,2017-09-28,house,balcony,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032144,2023-12-06,3,Female,United Kingdom,2024-05-15,apartment,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032326,2021-08-22,5,Male,United Arab Emirates,2021-10-30,house,none,couple,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031635,2021-06-08,5,Female,Germany,2021-09-16,apartment,garden,alone,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_031471,2024-05-25,2,Male,United States,2025-01-12,house,balcony,family_with_children,high,high,beginner,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
PET_032337,2023-04-23,3,Female,Canada,2023-12-13,apartment,none,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,high,high,balanced,cat,Abyssinian
PET_031676,2018-06-08,8,Female,United Arab Emirates,2018-09-20,apartment,balcony,family_with_children,high,high,intermediate,high,high,medium,medium,medium,medium,low,high,balanced,cat,Abyssinian
