breed,animal_type,size,energy,grooming,trainability,noise,maintenance,budget,experience,affection,kid_friendly
Labrador Retriever,dog,large,high,medium,high,medium,medium,medium,beginner,very_affectionate,high
German Shepherd,dog,large,high,medium,high,high,high,high,expert,balanced,medium
Golden Retriever,dog,large,high,high,high,medium,medium,medium,beginner,very_affectionate,high
French Bulldog,dog,small,low,low,medium,low,high,high,beginner,very_affectionate,high
Beagle,dog,medium,high,low,medium,high,medium,medium,intermediate,very_affectionate,high
Poodle,dog,medium,high,high,high,medium,high,high,beginner,very_affectionate,high
Rottweiler,dog,large,medium,low,high,low,high,high,expert,balanced,medium
German Shorthaired Pointer,dog,large,high,low,high,medium,medium,medium,intermediate,balanced,high
Boxer,dog,large,high,low,medium,medium,medium,medium,intermediate,very_affectionate,high
Siberian Husky,dog,large,high,high,medium,high,high,medium,expert,very_affectionate,high
Dachshund,dog,small,medium,medium,medium,high,medium,medium,beginner,balanced,medium
Great Dane,dog,large,low,low,medium,low,high,high,intermediate,very_affectionate,high
Pembroke Welsh Corgi,dog,small,medium,medium,high,medium,medium,medium,beginner,very_affectionate,high
Australian Shepherd,dog,medium,high,high,high,medium,high,medium,expert,balanced,high
Yorkshire Terrier,dog,small,high,high,medium,high,high,medium,beginner,very_affectionate,medium
Cavalier King Charles Spaniel,dog,small,low,medium,medium,low,medium,high,beginner,very_affectionate,high
Shih Tzu,dog,small,low,high,medium,low,medium,medium,beginner,very_affectionate,high
Border Collie,dog,medium,high,medium,high,medium,high,medium,expert,balanced,high
Doberman Pinscher,dog,large,high,low,high,medium,high,high,expert,very_affectionate,medium
Chihuahua,dog,small,medium,low,low,high,low,low,intermediate,balanced,low
Persian,cat,medium,low,high,low,low,high,medium,beginner,balanced,medium
Maine Coon,cat,large,medium,high,high,low,high,high,intermediate,very_affectionate,high
Siamese,cat,medium,high,low,high,high,medium,medium,intermediate,very_affectionate,high
Ragdoll,cat,large,low,medium,medium,low,medium,medium,beginner,very_affectionate,high
British Shorthair,cat,medium,low,low,medium,low,low,medium,beginner,balanced,high
American Shorthair,cat,medium,medium,low,medium,low,low,low,beginner,balanced,high
Abyssinian,cat,medium,high,low,high,medium,medium,medium,intermediate,balanced,high
Sphynx,cat,medium,high,high,medium,medium,high,high,expert,very_affectionate,high
Scottish Fold,cat,medium,low,low,medium,low,medium,medium,beginner,very_affectionate,high
Bengal,cat,large,high,low,high,high,high,high,expert,balanced,medium
Russian Blue,cat,medium,low,low,medium,low,low,medium,beginner,independent,medium
Birman,cat,medium,low,medium,medium,low,medium,medium,beginner,very_affectionate,high
Oriental Shorthair,cat,medium,high,low,high,high,medium,high,intermediate,very_affectionate,high
Norwegian Forest Cat,cat,large,medium,high,medium,low,medium,medium,intermediate,balanced,high
Devon Rex,cat,small,high,low,high,medium,medium,high,intermediate,very_affectionate,high
Burmese,cat,medium,high,low,high,medium,medium,medium,beginner,very_affectionate,high
Siberian,cat,large,medium,high,high,low,medium,medium,beginner,very_affectionate,high
Turkish Angora,cat,medium,high,medium,high,medium,medium,medium,intermediate,very_affectionate,high
